id,source,region,management,construction_year,status_group
69572,spring,Iringa,vwc,1999,functional
8776,rainwater harvesting,Mara,wug,2010,functional
34310,dam,Manyara,vwc,2009,functional
67743,machine dbh,Mtwara,vwc,1986,needs repair
19728,rainwater harvesting,Kagera,other,0,functional
9944,other,Tanga,vwc,2009,functional
19816,machine dbh,Shinyanga,vwc,0,needs repair
54551,shallow well,Shinyanga,wug,0,needs repair
53934,machine dbh,Tabora,vwc,0,needs repair
46144,shallow well,Kagera,vwc,0,functional
49056,machine dbh,Pwani,private operator,2011,functional
50409,shallow well,Ruvuma,wug,1987,functional
36957,shallow well,Shinyanga,wug,0,functional
50495,spring,Kilimanjaro,water board,2009,functional
53752,shallow well,Shinyanga,wug,0,functional
61848,machine dbh,Rukwa,vwc,1991,functional
48451,river,Iringa,wua,1978,needs repair
58155,river,Iringa,wua,1978,needs repair
34169,spring,Mwanza,vwc,1999,needs repair
18274,spring,Iringa,vwc,1992,functional
48375,spring,Iringa,vwc,2008,functional
6091,shallow well,Shinyanga,wug,0,functional
58500,river,Iringa,wua,1978,needs repair
37862,river,Kilimanjaro,vwc,2011,functional
51058,spring,Kigoma,vwc,2009,functional
22308,spring,Kilimanjaro,vwc,1974,needs repair
55012,machine dbh,Lindi,vwc,2011,functional
20145,shallow well,Kagera,vwc,0,functional
19685,spring,Kilimanjaro,company,2000,needs repair
69124,spring,Kilimanjaro,water board,2002,functional
46804,shallow well,Dodoma,vwc,0,functional
6696,river,Pwani,private operator,2004,functional
57238,river,Kilimanjaro,other,1972,needs repair
12402,spring,Iringa,vwc,1992,functional
41583,shallow well,Pwani,vwc,0,functional
57355,rainwater harvesting,Arusha,vwc,2000,needs repair
67359,spring,Mbeya,vwc,0,needs repair
60048,spring,Dodoma,vwc,0,functional
16583,river,Iringa,vwc,2003,functional
25,shallow well,Kigoma,vwc,2002,needs repair
70238,machine dbh,Kilimanjaro,water board,2008,functional
12796,spring,Iringa,vwc,1986,functional
52019,spring,Iringa,wug,2011,functional
19282,machine dbh,Singida,vwc,1980,needs repair
1843,spring,Arusha,vwc,2000,needs repair
12958,machine dbh,Shinyanga,wug,0,needs repair
45111,spring,Mtwara,vwc,2004,needs repair
13620,spring,Mbeya,vwc,0,functional
18864,spring,Iringa,vwc,2003,functional
25182,spring,Iringa,vwc,2007,functional
3228,spring,Kilimanjaro,water authority,2008,functional
19308,river,Rukwa,vwc,1973,needs repair
10745,spring,Mbeya,vwc,0,functional
32376,machine dbh,Mwanza,vwc,0,needs repair
9417,rainwater harvesting,Kagera,private operator,0,functional
68724,spring,Kilimanjaro,water authority,2008,needs repair
74197,spring,Kilimanjaro,water board,2008,functional
22961,spring,Arusha,vwc,2009,needs repair
24593,shallow well,Manyara,wug,2000,functional
31714,shallow well,Kagera,vwc,0,needs repair
29952,spring,Tanga,vwc,1999,functional
40393,shallow well,Tanga,vwc,1992,needs repair
2127,river,Kigoma,vwc,1985,needs repair
8265,river,Arusha,vwc,2002,needs repair
67433,machine dbh,Singida,wug,2004,functional
51072,machine dbh,Singida,vwc,1970,needs repair
34255,hand dtw,Iringa,private operator,2010,functional
22108,spring,Kagera,vwc,0,needs repair
4720,river,Iringa,wua,1978,needs repair
54801,rainwater harvesting,Kigoma,private operator,2004,needs repair
21990,shallow well,Morogoro,vwc,1995,needs repair
17386,river,Mbeya,vwc,0,needs repair
41609,river,Mbeya,vwc,0,needs repair
35715,shallow well,Mara,wug,1991,needs repair
53970,shallow well,Kigoma,vwc,2009,functional
62971,machine dbh,Kagera,vwc,0,needs repair
63542,spring,Iringa,wua,2008,functional
15622,spring,Arusha,vwc,1974,functional
12903,river,Tanga,vwc,1992,needs repair
52561,shallow well,Shinyanga,vwc,0,functional
19415,spring,Iringa,vwc,2002,functional
65531,river,Morogoro,vwc,2004,needs repair
3675,spring,Arusha,wua,2011,functional
34383,shallow well,Shinyanga,wug,0,functional
30423,rainwater harvesting,Mara,parastatal,2002,needs repair
68717,shallow well,Mwanza,vwc,0,needs repair
3688,machine dbh,Iringa,vwc,2000,functional
30537,spring,Kagera,vwc,0,needs repair
27312,river,Pwani,private operator,2008,needs repair
22143,machine dbh,Dodoma,vwc,0,needs repair
43237,river,Kigoma,vwc,2006,needs repair
62591,machine dbh,Lindi,vwc,2006,needs repair
39920,river,Pwani,vwc,1987,needs repair
70892,spring,Manyara,vwc,2008,functional
48593,shallow well,Kagera,vwc,0,needs repair
26419,dam,Kigoma,vwc,2007,functional
68554,machine dbh,Kigoma,vwc,1978,needs repair
29083,machine dbh,Mwanza,private operator,0,functional
33379,river,Ruvuma,vwc,1978,needs repair
43206,dam,Shinyanga,vwc,0,needs repair
41743,shallow well,Tanga,vwc,1962,needs repair
17970,machine dbh,Singida,wug,2010,functional
25693,spring,Kigoma,vwc,2002,functional
39364,machine dbh,Ruvuma,vwc,2011,needs repair
57580,spring,Kilimanjaro,water board,1999,functional
23000,spring,Kilimanjaro,vwc,2010,functional
59902,shallow well,Shinyanga,wug,0,functional
60371,hand dtw,Kagera,vwc,0,needs repair
74246,spring,Iringa,vwc,2000,needs repair
7116,river,Mbeya,vwc,0,functional
64063,river,Arusha,vwc,2004,needs repair
59983,river,Arusha,wug,2005,functional
10784,shallow well,Kagera,vwc,0,functional
49503,river,Mbeya,wug,0,functional
54248,spring,Dodoma,vwc,0,needs repair
24409,spring,Kagera,vwc,0,needs repair
21068,shallow well,Morogoro,vwc,1997,functional
62341,rainwater harvesting,Mara,parastatal,2000,needs repair
10837,rainwater harvesting,Mara,other,1997,functional
35458,machine dbh,Manyara,vwc,2004,needs repair
36038,spring,Iringa,vwc,2000,needs repair
64447,shallow well,Kagera,vwc,0,functional
22897,machine dbh,Kagera,vwc,0,needs repair
2915,spring,Arusha,parastatal,2012,functional
14016,spring,Mbeya,vwc,0,functional
69525,machine dbh,Tabora,vwc,0,needs repair
73061,machine dbh,Singida,vwc,2000,functional
42031,spring,Iringa,wua,2008,functional
33235,shallow well,Shinyanga,wug,0,needs repair
41839,shallow well,Mwanza,vwc,0,needs repair
62002,shallow well,Kagera,vwc,0,functional
6106,spring,Arusha,vwc,0,functional
25915,river,Mbeya,wua,0,functional
20673,shallow well,Shinyanga,wug,0,functional
59475,spring,Tanga,vwc,2008,functional
